	12202								13001								13101								13202								22408								22702								24603								25004-1								30907								
	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	
08.09.2023	0.000	0.000	0.000	0.000	0.000	7.394	7.406	0.000	0.000	0.000	0.000	0.000	0.000	10.133	10.133	0.000	0.000	0.000	0.000	0.000	0.000	15.441	15.491	0.000	0.000	0.000	0.000	0.000	0.000	13.992	14.010	0.000	987920.646	53.049	1001967.348	968569.442	86.246	13.663	10.635	6.311	0.000	0.000	0.000	0.000	0.000	20.216	20.268	0.000	607221.165	53.175	619111.661	594861.705	73.457	22.832	16.716	11.932	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	866765.159	42.998	878344.572	849049.292	72.665	7.167	6.783	4.882	
01.10.2023	0.000	0.000	0.000	0.000	0.000	7.354	7.366	0.000	0.000	0.000	0.000	0.000	0.000	10.087	10.087	0.000	0.000	0.000	0.000	0.000	0.000	15.416	15.465	0.000	0.000	0.000	0.000	0.000	0.000	13.971	13.989	0.000	3247352.338	174.088	3293445.120	3183744.962	283.145	13.630	10.594	6.270	0.000	0.000	0.000	0.000	0.000	20.181	20.233	0.000	1994445.240	174.536	2033477.873	1953782.669	241.257	22.809	16.694	11.915	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2920414.039	144.893	2959431.636	2860716.111	244.860	7.156	6.762	4.841	
08.10.2023	0.000	0.000	0.000	0.000	0.000	7.335	7.347	0.000	0.000	0.000	0.000	0.000	0.000	10.050	10.050	0.000	0.000	0.000	0.000	0.000	0.000	15.414	15.463	0.000	0.000	0.000	0.000	0.000	0.000	13.965	13.983	0.000	1364970.741	72.990	1384303.247	1338244.703	118.789	13.588	10.530	6.192	0.000	0.000	0.000	0.000	0.000	20.165	20.216	0.000	834398.038	72.946	850719.925	817350.646	100.924	22.789	16.674	11.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1215449.285	60.373	1231691.596	1190569.525	102.013	7.126	6.732	4.820	
01.11.2023	0.000	0.000	0.000	0.000	0.000	7.256	7.267	0.000	0.000	0.000	0.000	0.000	0.000	9.947	9.947	0.000	0.000	0.000	0.000	0.000	0.000	15.392	15.440	0.000	0.000	0.000	0.000	0.000	0.000	13.931	13.949	0.000	4673557.570	249.279	4739563.575	4582042.440	405.951	13.534	10.469	6.138	0.000	0.000	0.000	0.000	0.000	20.082	20.134	0.000	2859269.057	249.682	2915151.591	2800696.685	345.803	22.753	16.641	11.874	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4131941.705	205.577	4187177.795	4047200.352	347.302	7.080	6.687	4.790	
08.11.2023	0.000	0.000	0.000	0.000	0.000	7.232	7.244	0.000	0.000	0.000	0.000	0.000	0.000	9.920	9.920	0.000	0.000	0.000	0.000	0.000	0.000	15.385	15.433	0.000	0.000	0.000	0.000	0.000	0.000	13.920	13.938	0.000	1360478.626	72.523	1379678.306	1333835.961	118.120	13.519	10.458	6.135	0.000	0.000	0.000	0.000	0.000	20.057	20.108	0.000	833828.031	72.791	850120.712	816735.035	100.841	22.743	16.631	11.867	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1199044.191	59.685	1215074.894	1174439.430	100.826	7.068	6.676	4.784	
01.12.2023	0.000	0.000	0.000	0.000	0.000	7.159	7.170	0.000	0.000	0.000	0.000	0.000	0.000	9.845	9.845	0.000	0.000	0.000	0.000	0.000	0.000	15.357	15.404	0.000	0.000	0.000	0.000	0.000	0.000	13.883	13.901	0.000	4456298.896	237.125	4519044.365	4369007.581	386.389	13.475	10.415	6.104	0.000	0.000	0.000	0.000	0.000	19.975	20.026	0.000	2738430.148	238.869	2791897.685	2682183.790	331.152	22.712	16.603	11.845	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3935061.678	196.153	3987689.968	3854181.974	331.311	7.030	6.636	4.752	
08.12.2023	0.000	0.000	0.000	0.000	0.000	7.137	7.148	0.000	0.000	0.000	0.000	0.000	0.000	9.824	9.824	0.000	0.000	0.000	0.000	0.000	0.000	15.348	15.395	0.000	0.000	0.000	0.000	0.000	0.000	13.872	13.890	0.000	1354677.570	72.046	1373738.471	1328139.437	117.412	13.462	10.403	6.097	0.000	0.000	0.000	0.000	0.000	19.950	20.001	0.000	833317.425	72.672	849584.158	816191.502	100.769	22.703	16.594	11.838	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1193693.646	59.529	1209660.132	1169146.626	100.542	7.018	6.626	4.745	
01.01.2024	0.000	0.000	0.000	0.000	0.000	7.065	7.076	0.000	0.000	0.000	0.000	0.000	0.000	9.756	9.756	0.000	0.000	0.000	0.000	0.000	0.000	15.315	15.362	0.000	0.000	0.000	0.000	0.000	0.000	13.832	13.850	0.000	4634146.328	246.022	4699202.767	4543339.891	401.121	13.419	10.358	6.061	0.000	0.000	0.000	0.000	0.000	19.869	19.920	0.000	2855727.178	248.868	2911430.017	2796932.053	345.303	22.672	16.566	11.816	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4013612.524	200.420	4067315.944	3930953.302	338.452	6.985	6.598	4.737	
08.01.2024	0.000	0.000	0.000	0.000	0.000	7.044	7.055	0.000	0.000	0.000	0.000	0.000	0.000	9.737	9.737	0.000	709084.479	39.011	719782.696	694279.639	65.174	14.874	9.780	6.617	497199.018	25.760	504300.085	487103.859	43.514	13.750	10.735	6.668	727650.000	40.160	737886.056	712991.991	64.871	13.458	11.897	8.223	0.000	0.000	0.000	0.000	0.000	19.845	19.896	0.000	832809.098	72.565	849050.210	815655.327	100.698	22.664	16.558	11.810	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	623700.000	31.110	632043.915	610872.265	52.542	7.001	6.773	4.996	
01.02.2024	0.000	0.000	0.000	0.000	0.000	6.977	6.988	0.000	0.000	0.000	0.000	0.000	0.000	9.677	9.677	0.000	2060964.017	110.327	2091105.763	2018206.681	185.387	14.223	9.857	6.584	1537769.803	79.372	1559622.281	1506584.112	134.142	13.652	10.940	6.641	3940155.914	210.736	3995373.112	3862419.054	342.937	13.385	10.887	6.021	0.000	0.000	0.000	0.000	0.000	19.768	19.818	0.000	2854016.134	248.520	2909632.785	2795132.077	345.066	22.633	16.530	11.789	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2875154.529	143.526	2913631.897	2815972.550	242.383	6.968	6.658	4.677	
08.02.2024	0.000	0.000	0.000	0.000	0.000	6.958	6.969	0.000	0.000	0.000	0.000	0.000	0.000	9.661	9.660	0.000	589000.676	31.352	597556.804	576799.906	52.737	14.086	9.785	6.556	449020.486	23.152	455393.933	439918.912	39.134	13.630	10.910	6.613	1150701.876	61.504	1166816.544	1127999.552	100.103	13.372	10.869	6.002	0.000	0.000	0.000	0.000	0.000	19.746	19.796	0.000	832307.107	72.461	848522.881	815126.411	100.628	22.624	16.522	11.783	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	837823.414	41.836	849036.709	820572.252	70.649	6.961	6.650	4.671	
01.03.2024	0.000	0.000	0.000	0.000	0.000	6.900	6.910	0.000	0.000	0.000	0.000	0.000	0.000	9.611	9.610	0.000	1769544.922	93.414	1794968.510	1732954.349	157.353	13.867	9.728	6.556	1394487.740	71.724	1414224.405	1366254.400	121.269	13.575	10.880	6.613	3592749.024	191.767	3642953.671	3521833.062	312.224	13.331	10.839	6.000	0.000	0.000	0.000	0.000	0.000	19.677	19.728	0.000	2614714.080	227.507	2665621.910	2560659.131	316.106	22.597	16.497	11.764	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2623010.813	131.093	2658125.918	2568948.169	221.357	6.938	6.628	4.655	
08.03.2024	0.000	0.000	0.000	0.000	0.000	6.881	6.892	0.000	0.000	0.000	0.000	0.000	0.000	9.596	9.595	0.000	561818.123	29.589	569865.685	550208.294	49.860	13.808	9.663	6.508	446295.770	22.936	452606.583	437263.639	38.783	13.557	10.843	6.568	1145665.046	61.112	1161663.681	1123051.466	99.515	13.318	10.819	5.965	0.000	0.000	0.000	0.000	0.000	19.656	19.706	0.000	831841.291	72.365	848033.540	814635.985	100.563	22.588	16.489	11.757	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	838653.848	41.927	849882.220	821362.691	70.793	6.930	6.618	4.641	
01.04.2024	0.000	0.000	0.000	0.000	0.000	6.821	6.831	0.000	0.000	0.000	0.000	0.000	0.000	9.545	9.545	0.000	1876528.022	98.364	1903239.049	1837796.197	165.876	13.685	9.631	6.508	1513283.174	77.589	1534624.248	1482691.979	131.233	13.505	10.815	6.568	3906511.336	208.073	3960940.088	3829367.867	338.952	13.275	10.784	5.951	0.000	0.000	0.000	0.000	0.000	19.583	19.633	0.000	2850717.877	247.845	2906168.207	2791661.438	344.606	22.558	16.462	11.737	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2850334.890	142.640	2888508.458	2791502.503	240.819	6.905	6.595	4.630	
08.04.2024	0.000	0.000	0.000	0.000	0.000	6.805	6.815	0.000	0.000	0.000	0.000	0.000	0.000	9.539	9.539	0.000	496395.029	26.017	503460.071	486150.045	43.874	13.683	9.591	6.469	399849.680	20.494	405486.778	391768.234	34.666	13.499	10.788	6.529	1022845.301	54.495	1037094.618	1002640.806	88.766	13.273	10.787	5.966	0.000	0.000	0.000	0.000	0.000	19.564	19.614	0.000	748018.906	65.042	762567.487	732524.459	90.424	22.554	16.459	11.734	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	747091.925	37.386	757097.430	731671.950	63.119	6.905	6.595	4.632	
01.05.2024	0.000	0.000	0.000	0.000	0.000	6.759	6.769	0.000	0.000	0.000	0.000	0.000	0.000	9.517	9.516	0.000	1617695.075	84.657	1640674.480	1584323.463	142.797	13.645	9.581	6.469	1303261.419	66.685	1321598.995	1276943.744	112.816	13.462	10.768	6.529	3345792.301	178.087	3392324.076	3279671.939	290.154	13.241	10.761	5.958	0.000	0.000	0.000	0.000	0.000	19.507	19.557	0.000	2456880.649	213.561	2504638.424	2405937.412	296.988	22.531	16.439	11.718	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2431757.705	121.743	2464329.750	2381542.011	205.530	6.894	6.587	4.634	
08.05.2024	0.000	0.000	0.000	0.000	0.000	6.745	6.756	0.000	0.000	0.000	0.000	0.000	0.000	9.509	9.509	0.000	493846.616	25.832	500856.420	483659.452	43.575	13.630	9.552	6.444	397560.345	20.334	403150.698	389532.798	34.402	13.450	10.749	6.511	1017362.778	54.139	1031504.264	997253.359	88.213	13.231	10.753	5.956	0.000	0.000	0.000	0.000	0.000	19.490	19.540	0.000	747688.815	64.987	762220.091	732181.132	90.380	22.524	16.432	11.713	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	747027.126	37.403	757033.640	731599.560	63.144	6.890	6.580	4.618	
01.06.2024	0.000	0.000	0.000	0.000	0.000	6.700	6.710	0.000	0.000	0.000	0.000	0.000	0.000	9.481	9.481	0.000	1677205.014	87.570	1700949.866	1642621.133	147.760	13.580	9.539	6.444	1352997.878	69.091	1371983.700	1325695.575	116.914	13.410	10.727	6.511	3472836.509	184.627	3521018.211	3404153.022	300.899	13.196	10.722	5.939	0.000	0.000	0.000	0.000	0.000	19.434	19.483	0.000	2562647.802	222.657	2612422.329	2509438.576	309.756	22.499	16.410	11.696	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2542399.252	127.356	2576461.145	2489867.300	214.991	6.876	6.568	4.618	
08.06.2024	0.000	0.000	0.000	0.000	0.000	6.686	6.697	0.000	0.000	0.000	0.000	0.000	0.000	9.473	9.472	0.000	490121.175	25.558	497053.944	480024.072	43.133	13.563	9.497	6.406	395955.772	20.200	401508.483	387972.472	34.185	13.398	10.698	6.474	1013549.092	53.843	1027603.195	993507.531	87.768	13.186	10.708	5.918	0.000	0.000	0.000	0.000	0.000	19.417	19.467	0.000	747288.702	64.915	761800.731	731765.023	90.325	22.492	16.404	11.691	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	745788.408	37.370	755780.745	730373.304	63.082	6.872	6.561	4.603	
01.07.2024	0.000	0.000	0.000	0.000	0.000	6.643	6.654	0.000	0.000	0.000	0.000	0.000	0.000	9.445	9.444	0.000	1593742.254	82.940	1616230.170	1560933.687	140.014	13.516	9.485	6.406	1290646.625	65.730	1308710.797	1264647.885	111.258	13.361	10.678	6.474	3315974.132	175.952	3361870.377	3250379.688	286.899	13.151	10.679	5.906	0.000	0.000	0.000	0.000	0.000	19.362	19.412	0.000	2454451.565	213.117	2502087.369	2403402.820	296.656	22.467	16.382	11.674	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2437440.241	122.205	2470104.300	2387027.887	206.275	6.857	6.547	4.597	
08.07.2024	0.000	0.000	0.000	0.000	0.000	6.630	6.641	0.000	0.000	0.000	0.000	0.000	0.000	9.436	9.436	0.000	487248.426	25.337	494117.702	477221.719	42.777	13.499	9.442	6.368	394902.401	20.100	400426.069	386950.104	34.024	13.349	10.649	6.436	1004269.666	53.280	1018162.129	984398.709	86.880	13.141	10.680	5.931	0.000	0.000	0.000	0.000	0.000	19.346	19.395	0.000	746922.259	64.846	761415.877	731382.043	90.275	22.460	16.375	11.669	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	745608.007	37.389	755600.559	730183.767	63.110	6.852	6.540	4.585	
01.08.2024	0.000	0.000	0.000	0.000	0.000	6.587	6.597	0.000	0.000	0.000	0.000	0.000	0.000	9.407	9.406	0.000	1653405.929	85.804	1676658.715	1619408.549	144.904	13.453	9.430	6.368	1342802.106	68.227	1361546.876	1315786.945	115.512	13.311	10.628	6.436	3435739.091	182.039	3483177.185	3367736.947	296.936	13.106	10.644	5.900	0.000	0.000	0.000	0.000	0.000	19.289	19.338	0.000	2559864.438	222.135	2609505.808	2506535.768	309.373	22.435	16.352	11.651	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2532494.540	127.073	2566441.955	2480070.662	214.473	6.837	6.527	4.584	
08.08.2024	0.000	0.000	0.000	0.000	0.000	6.585	6.595	0.000	0.000	0.000	0.000	0.000	0.000	9.447	9.446	0.000	168346.006	8.801	170735.929	164876.114	14.847	13.633	9.491	6.384	132258.060	6.733	134108.678	129594.704	11.397	13.356	10.674	6.472	335536.353	17.849	340181.495	328887.318	29.085	13.155	10.718	6.013	0.000	0.000	0.000	0.000	0.000	19.280	19.329	0.000	251538.651	21.864	256419.028	246314.287	30.405	22.455	16.375	11.668	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	246499.489	12.348	249801.904	241406.031	20.845	6.878	6.573	4.634	
01.09.2024	0.000	0.000	0.000	0.000	0.000	6.609	6.619	0.000	0.000	0.000	0.000	0.000	0.000	9.574	9.574	0.000	604302.551	31.902	612992.946	591814.368	53.738	13.886	9.587	6.415	450521.089	22.950	456830.310	441446.425	38.845	13.372	10.711	6.518	1140611.936	60.807	1156419.440	1117989.845	99.030	13.175	10.762	6.092	0.000	0.000	0.000	0.000	0.000	19.293	19.342	0.000	862456.674	75.042	879192.267	844574.264	104.261	22.460	16.383	11.674	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	858065.528	42.881	869552.759	840381.739	72.408	6.938	6.631	4.668	
08.09.2024	0.000	0.000	0.000	0.000	0.000	6.608	6.619	0.000	0.000	0.000	0.000	0.000	0.000	9.567	9.566	0.000	419620.909	22.056	425624.715	410962.520	37.179	13.785	9.497	6.347	317822.806	16.162	322264.714	311427.040	27.360	13.334	10.644	6.441	800918.901	42.578	811995.772	785044.918	69.392	13.137	10.709	6.025	0.000	0.000	0.000	0.000	0.000	19.293	19.342	0.000	603553.361	52.455	615259.314	591011.518	72.954	22.441	16.362	11.659	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	614332.887	30.722	622558.878	601662.566	51.872	6.920	6.606	4.623	
01.10.2024	0.000	0.000	0.000	0.000	0.000	6.584	6.594	0.000	0.000	0.000	0.000	0.000	0.000	9.536	9.536	0.000	1343009.930	70.166	1362080.652	1315352.606	118.383	13.638	9.437	6.326	1042128.986	52.901	1056665.334	1021178.030	89.571	13.297	10.606	6.413	2631721.521	139.677	2668055.371	2579563.197	227.736	13.104	10.671	5.985	0.000	0.000	0.000	0.000	0.000	19.261	19.311	0.000	1982410.624	172.169	2020837.446	1941149.596	239.603	22.417	16.340	11.642	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2006924.652	100.385	2033799.725	1965523.445	169.489	6.914	6.601	4.624	
08.10.2024	0.000	0.000	0.000	0.000	0.000	6.571	6.581	0.000	0.000	0.000	0.000	0.000	0.000	9.506	9.505	0.000	553161.310	28.749	560965.202	541790.755	48.542	13.513	9.353	6.275	437984.225	22.196	444081.925	429186.778	37.589	13.261	10.550	6.355	1103226.736	58.414	1118428.418	1081371.717	95.299	13.068	10.624	5.921	0.000	0.000	0.000	0.000	0.000	19.246	19.296	0.000	829365.302	71.956	845433.877	812069.090	100.230	22.398	16.321	11.627	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	853121.663	42.712	864549.334	835504.542	72.107	6.890	6.571	4.581	
01.11.2024	0.000	0.000	0.000	0.000	0.000	6.513	6.523	0.000	0.000	0.000	0.000	0.000	0.000	9.421	9.421	0.000	1830054.007	94.375	1855613.532	1792539.430	159.511	13.321	9.278	6.249	1495071.955	75.578	1515826.244	1465083.220	128.019	13.207	10.498	6.319	3773805.543	199.325	3825657.609	3699038.878	325.394	13.015	10.568	5.868	0.000	0.000	0.000	0.000	0.000	19.171	19.220	0.000	2842041.232	246.282	2897056.300	2782618.777	343.417	22.362	16.287	11.601	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2914178.153	146.126	2953234.272	2853898.466	246.650	6.851	6.531	4.550	
08.11.2024	0.000	0.000	0.000	0.000	0.000	6.496	6.506	0.000	0.000	0.000	0.000	0.000	0.000	9.400	9.399	0.000	532080.469	27.388	539494.295	521181.276	46.301	13.277	9.236	6.220	437165.873	22.084	443229.670	428400.525	37.409	13.192	10.473	6.292	1100851.189	58.105	1115965.082	1079040.700	94.872	13.001	10.551	5.847	0.000	0.000	0.000	0.000	0.000	19.148	19.197	0.000	828808.186	71.800	844848.035	811467.631	100.145	22.353	16.278	11.594	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	849132.841	42.597	860514.769	831560.191	71.897	6.840	6.519	4.540	
01.12.2024	0.000	0.000	0.000	0.000	0.000	6.442	6.452	0.000	0.000	0.000	0.000	0.000	0.000	9.340	9.339	0.000	1721475.705	88.296	1745353.377	1686262.970	149.334	13.191	9.198	6.204	1429193.487	72.050	1448970.795	1400570.265	122.074	13.148	10.435	6.270	3602058.335	189.799	3651395.117	3530669.863	310.036	12.957	10.511	5.820	0.000	0.000	0.000	0.000	0.000	19.073	19.122	0.000	2721983.252	235.621	2774622.290	2664929.109	328.867	22.323	16.250	11.573	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2753659.097	138.316	2790586.474	2696594.026	233.421	6.808	6.490	4.529	
08.12.2024	0.000	0.000	0.000	0.000	0.000	6.426	6.436	0.000	0.000	0.000	0.000	0.000	0.000	9.323	9.322	0.000	524741.017	26.885	532010.075	514012.952	45.476	13.167	9.160	6.173	436436.494	21.988	442471.494	427699.077	37.256	13.134	10.409	6.240	1096182.613	57.726	1111185.900	1074456.380	94.310	12.944	10.495	5.803	0.000	0.000	0.000	0.000	0.000	19.050	19.099	0.000	828315.306	71.684	844330.080	810944.097	100.073	22.314	16.242	11.566	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	842223.896	42.321	853520.022	824762.926	71.418	6.798	6.478	4.513	
01.01.2025	0.000	0.000	0.000	0.000	0.000	6.375	6.385	0.000	0.000	0.000	0.000	0.000	0.000	9.269	9.269	0.000	1776269.499	90.785	1800800.303	1739993.673	153.605	13.110	9.145	6.173	1482452.455	74.539	1502904.267	1452807.365	126.318	13.091	10.385	6.240	3744241.416	196.847	3795367.443	3670005.123	321.738	12.900	10.454	5.773	0.000	0.000	0.000	0.000	0.000	18.975	19.023	0.000	2838630.389	245.489	2893471.787	2778999.201	342.920	22.283	16.214	11.545	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2852592.614	143.518	2890870.028	2793375.794	242.155	6.767	6.450	4.502	
08.01.2025	636201.195	26.341	642766.693	623943.195	46.088	6.100	3.785	2.240	431893.562	18.118	436562.083	423681.019	31.607	8.638	6.350	2.851	518995.112	26.505	526156.091	508400.372	44.849	13.093	9.115	6.147	433751.407	21.796	439731.272	425080.764	36.939	13.078	10.361	6.212	1091557.244	57.360	1106453.032	1069913.950	93.764	12.889	10.443	5.763	531991.563	35.459	541335.957	519415.830	57.638	18.840	12.340	8.290	596045.341	52.428	607786.464	584069.969	72.134	23.078	16.630	11.829	623700.000	46.223	635370.116	608968.337	71.874	21.037	19.668	13.031	830771.721	41.814	841921.128	813518.574	70.549	6.758	6.441	4.494	
01.02.2025	2022715.569	83.944	2043670.174	1983739.006	146.795	5.907	3.754	2.230	1327354.037	55.406	1341542.116	1302073.817	96.764	8.371	6.313	2.830	1767529.052	90.146	1791854.055	1731446.315	152.558	13.045	9.102	6.147	1479035.290	74.232	1499379.495	1449472.558	125.817	13.036	10.337	6.212	3730391.461	195.834	3781176.248	3656360.884	320.204	12.845	10.405	5.744	1783765.522	118.342	1814948.506	1741601.109	192.648	18.689	12.354	8.319	2037553.374	176.697	2077158.430	1995150.117	246.243	22.529	16.307	11.585	3765561.187	265.454	3833184.159	3675056.456	422.550	19.567	17.308	10.415	2843302.039	143.212	2881479.181	2784215.505	241.609	6.728	6.412	4.479	
08.02.2025	574002.551	23.859	579953.307	562930.246	41.707	5.877	3.731	2.220	379546.975	15.818	383599.117	372323.783	27.636	8.341	6.288	2.822	515229.229	26.238	522314.395	504726.245	44.411	13.031	9.067	6.116	431603.855	21.633	437536.529	422989.209	36.669	13.023	10.310	6.179	1085141.961	56.905	1099904.875	1063614.558	93.072	12.833	10.392	5.732	518102.481	34.262	527152.312	505879.020	55.831	18.664	12.315	8.287	593192.828	51.170	604705.197	580733.891	71.645	22.467	16.270	11.556	1045005.262	72.406	1063715.123	1020037.373	116.076	19.465	17.228	10.393	827406.286	41.710	838517.540	810194.985	70.361	6.719	6.401	4.461	
01.03.2025	1676772.267	69.785	1694187.243	1644421.918	121.954	5.806	3.693	2.220	1122450.239	46.740	1134402.436	1101075.032	81.675	8.274	6.236	2.812	1532849.065	77.933	1553886.538	1501627.216	131.932	12.994	9.058	6.116	1284754.876	64.287	1302380.384	1259137.104	108.986	12.987	10.290	6.179	3242764.547	169.830	3286794.060	3178411.168	277.862	12.797	10.360	5.714	1537758.453	101.356	1564561.184	1501516.996	165.330	18.596	12.307	8.287	1777614.103	152.968	1812021.529	1740063.053	214.626	22.359	16.201	11.503	3064401.650	210.708	3118979.115	2991210.358	338.785	19.290	17.099	10.360	2439649.513	123.103	2472424.988	2388849.801	207.642	6.695	6.382	4.463	
08.03.2025	556056.487	23.152	561835.325	545327.949	40.455	5.783	3.671	2.205	373074.432	15.531	377043.917	365968.509	27.141	8.254	6.216	2.798	512452.719	26.036	519480.661	502019.057	44.079	12.981	9.026	6.088	429656.177	21.486	435546.639	421092.161	36.427	12.975	10.265	6.151	1078492.188	56.461	1093126.050	1057085.935	92.386	12.785	10.352	5.715	514137.684	33.851	523092.454	502024.899	55.235	18.574	12.258	8.249	592354.069	50.941	603811.303	579822.010	71.513	22.330	16.182	11.488	1013934.601	69.557	1031964.257	989721.566	111.934	19.237	17.061	10.350	817965.320	41.288	828955.930	800927.171	69.640	6.686	6.371	4.445	
01.04.2025	1856038.751	77.367	1875363.972	1820226.558	135.154	5.719	3.643	2.205	1261974.681	52.497	1275373.255	1237925.930	91.756	8.197	6.174	2.798	1741098.332	88.302	1764925.280	1705681.505	149.523	12.941	9.016	6.088	1460239.959	72.887	1480215.689	1431167.334	123.587	12.934	10.243	6.151	3686521.456	192.699	3736431.758	3613325.455	315.440	12.744	10.312	5.684	1748500.060	114.727	1778883.748	1707352.676	187.394	18.502	12.227	8.229	2029279.891	174.243	2068459.841	1986189.938	244.934	22.258	16.133	11.450	3427652.473	233.832	3488371.339	3345846.167	377.065	19.113	16.964	10.311	2775056.834	140.231	2812361.966	2717187.562	236.493	6.659	6.345	4.434	
08.04.2025	489910.878	20.419	495011.108	480458.178	35.672	5.724	3.635	2.191	334609.315	13.926	338166.677	328234.825	24.338	8.232	6.196	2.784	461522.792	23.420	467844.315	452133.427	39.654	12.958	8.990	6.059	385332.958	19.230	390603.309	377662.364	32.607	12.931	10.223	6.122	966949.730	50.554	980039.257	947746.297	82.750	12.742	10.311	5.685	459100.389	30.118	467077.086	448297.112	49.197	18.498	12.217	8.223	532491.857	45.725	542772.628	521185.623	64.272	22.257	16.131	11.449	902496.344	61.660	918501.952	880955.270	99.375	19.150	16.995	10.326	734468.513	37.116	744342.182	719151.809	62.594	6.658	6.341	4.420	
01.05.2025	1585150.466	66.111	1601671.222	1554565.768	115.476	5.687	3.619	2.191	1097202.174	45.659	1108863.363	1076298.382	79.798	8.224	6.190	2.784	1517065.045	76.977	1537847.564	1486207.271	130.339	12.960	8.991	6.059	1257788.152	62.680	1274963.208	1232772.602	106.292	12.901	10.206	6.122	3160857.484	165.118	3203575.216	3098053.438	270.337	12.712	10.288	5.683	1496417.943	97.934	1522376.039	1461233.872	160.085	18.449	12.212	8.223	1748732.276	150.083	1782471.412	1711552.832	211.057	22.229	16.108	11.431	2951302.109	201.293	3003589.505	2880880.550	324.619	19.117	16.970	10.320	2380120.368	120.340	2412124.232	2330459.502	202.935	6.645	6.333	4.428	
08.05.2025	480839.939	20.059	485853.278	471562.459	35.034	5.675	3.609	2.184	333366.426	13.872	336908.758	327014.859	24.244	8.219	6.187	2.787	462730.494	23.474	469068.456	453320.075	39.748	12.957	8.976	6.045	382789.168	19.067	388013.367	375178.362	32.334	12.891	10.195	6.112	960435.299	50.158	973408.507	941349.486	82.126	12.703	10.282	5.683	455097.983	29.762	462988.475	444400.453	48.660	18.433	12.198	8.213	532124.393	45.660	542388.449	520805.706	64.221	22.219	16.101	11.426	897384.032	61.157	913274.681	875973.984	98.655	19.101	16.955	10.310	723295.645	36.577	733022.137	708201.348	61.680	6.641	6.329	4.425	
01.06.2025	1620729.634	67.657	1637649.730	1589460.379	118.152	5.635	3.592	2.184	1136113.497	47.259	1148174.419	1114462.668	82.603	8.194	6.168	2.787	1578320.683	79.979	1599912.713	1546243.609	135.440	12.935	8.970	6.045	1302852.471	64.792	1320600.997	1276974.810	109.889	12.858	10.176	6.112	3280701.446	171.138	3324935.347	3215483.239	280.298	12.670	10.252	5.667	1554376.078	101.386	1581278.421	1517873.058	165.888	18.379	12.157	8.184	1823223.526	156.333	1858359.836	1784374.735	220.016	22.183	16.073	11.404	3064482.184	208.213	3118639.556	2991402.686	336.242	19.036	16.896	10.275	2465906.021	124.775	2499075.367	2414414.724	210.395	6.626	6.315	4.419	
